#name, mChrA_Absence, mChrA_Presence
NODE_0000061, 0.9996209207343639, 0.0003790792656360292
TW-12YL-DL3-2, 1.0, 0.0
NODE_0000062, 0.9996243233112374, 0.00037567668876256497
TW-6-43-1, 0.9999999999999999, 0.0
NODE_0000063, 0.9996583952350585, 0.0003416047649415546
TW-12YL-TT4-1, 1.0, 0.0
TW-PT1-1, 1.0, 0.0
NODE_0000064, 0.9995548726430171, 0.00044512735698294084
JP0010, 1.0, 0.0
NODE_0000065, 0.9995666826628339, 0.00043331733716606076
NODE_0000066, 0.9995735287237447, 0.0004264712762552739
NODE_0000067, 0.9996196388130812, 0.00038036118691881226
DB11-621, 0.9999999999999999, 0.0
NODE_0000068, 0.99965797036575, 0.00034202963424990334
AG038, 1.0, 0.0
SP0005, 1.0, 0.0
NODE_0000069, 0.9996162361723998, 0.00038376382760024297
BJ-90-611, 1.0, 0.0
NODE_0000070, 0.9996238602622636, 0.00037613973773637806
NP0052, 1.0, 0.0
NODE_0000071, 0.9996583532379671, 0.00034164676203295554
BJ08-8, 1.0, 0.0
BJ08-8-1, 1.0, 0.0
NODE_0000072, 0.9996109715198055, 0.00038902848019456887
EG308, 1.0, 0.0
NODE_0000073, 0.9995779130852457, 0.00042208691475441627
NODE_0000074, 0.9996541859729434, 0.00034581402705668025
AG059, 1.0, 0.0
San-Andrea, 1.0, 0.0
NODE_0000075, 0.999578025339936, 0.0004219746600639962
NODE_0000076, 0.9996541961540921, 0.0003458038459079026
TW-1-1-1-B-1, 0.9999999999999999, 0.0
TW-2-7-2-A-1, 0.9999999999999999, 0.0
NODE_0000077, 0.9996121195349255, 0.00038788046507435116
TW-12TD-RH1-1, 0.9999999999999999, 0.0
NODE_0000078, 0.9995780931086528, 0.0004219068913473062
NODE_0000079, 0.9996200899830654, 0.00037991001693453864
TW-12YL-DP1-1, 0.9999999999999999, 0.0
NODE_0000080, 0.9996580112854543, 0.000341988714545642
TW-12CY-TB1-2, 1.0, 0.0
TW-12TN-HB2-2, 1.0, 0.0
NODE_0000081, 0.999612953876478, 0.0003870461235219879
TW-PT3-1, 1.0, 0.0
NODE_0000082, 0.9995863996131339, 0.00041360038686605793
NODE_0000083, 0.9996549556744384, 0.00034504432556167584
TW-12HL-YL2-1, 1.0, 0.0
TW-TN4-2, 1.0, 0.0
NODE_0000084, 0.9996549556744384, 0.00034504432556167584
TW-CYBP1-3, 1.0, 0.0
TW-PT6-1, 1.0, 0.0
NODE_0000085, 0.9964973647163377, 0.0035026352836624378
NODE_0000086, 0.997293847298977, 0.0027061527010230246
NODE_0000087, 0.9993884213862434, 0.0006115786137564693
NP0037, 1.0, 0.0
NODE_0000088, 0.9995969648988067, 0.0004030351011932759
E-KEN-29, 1.0, 0.0
NODE_0000089, 0.9996140720685235, 0.00038592793147641905
KE041, 1.0, 0.0
NODE_0000090, 0.9995787532667515, 0.00042124673324850457
NODE_0000091, 0.9996542621747739, 0.00034573782522600427
KE017, 1.0, 0.0
KE019, 1.0, 0.0
NODE_0000092, 0.9995827182810227, 0.0004172817189772311
NODE_0000093, 0.9996546217891478, 0.0003453782108522037
KE002, 1.0, 0.0
KE029, 1.0, 0.0
